
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
-8.8521 0.0828 0.9935 0.0100 0.0500 0.1500 1.4333 
+0.0082 0.0082 0.0072 0.0100 0.0500 0.1500 1.5000 
-8.9590 0.0146 0.9974 0.0100 0.0500 0.1600 0.5000 
-8.8577 0.0170 0.9875 0.0100 0.0500 0.1600 0.5667 
-8.6726 0.0212 0.9694 0.0100 0.0500 0.1600 0.6333 
-8.8505 0.0281 0.9879 0.0100 0.0500 0.1600 0.7000 
-0.7340 0.0038 0.1738 0.0100 0.0500 0.1600 0.7667 
-8.6561 0.0040 0.9660 0.0100 0.0500 0.1600 0.8333 
+0.0044 0.0044 0.0043 0.0100 0.0500 0.1600 0.9000 
+0.0048 0.0048 0.0183 0.0100 0.0500 0.1600 0.9667 
-8.9287 0.0238 0.9953 0.0100 0.0500 0.1600 1.0333 
+0.0057 0.0057 0.0691 0.0100 0.0500 0.1600 1.1000 
-1.3217 0.0062 0.2328 0.0100 0.0500 0.1600 1.1667 
+0.0067 0.0067 0.0893 0.0100 0.0500 0.1600 1.2333 
-0.7059 0.0072 0.1713 0.0100 0.0500 0.1600 1.3000 
-0.8866 0.0077 0.1894 0.0100 0.0500 0.1600 1.3667 
-8.5083 0.0082 0.9516 0.0100 0.0500 0.1600 1.4333 
+0.0087 0.0087 0.0980 0.0100 0.0500 0.1600 1.5000 
-8.9760 0.0148 0.9991 0.0100 0.0500 0.1700 0.5000 
-8.9426 0.0189 0.9961 0.0100 0.0500 0.1700 0.5667 
-8.9378 0.0228 0.9961 0.0100 0.0500 0.1700 0.6333 
-8.9411 0.0245 0.9966 0.0100 0.0500 0.1700 0.7000 
+0.0040 0.0040 0.0285 0.0100 0.0500 0.1700 0.7667 
-8.7807 0.0362 0.9817 0.0100 0.0500 0.1700 0.8333 
+0.0047 0.0047 0.0179 0.0100 0.0500 0.1700 0.9000 
+0.0051 0.0051 0.0536 0.0100 0.0500 0.1700 0.9667 
+0.0056 0.0056 0.0525 0.0100 0.0500 0.1700 1.0333 
-0.3623 0.0060 0.1368 0.0100 0.0500 0.1700 1.1000 
+0.0066 0.0066 0.0508 0.0100 0.0500 0.1700 1.1667 
+0.0071 0.0071 0.0626 0.0100 0.0500 0.1700 1.2333 
+0.0076 0.0076 0.0263 0.0100 0.0500 0.1700 1.3000 
+0.0081 0.0081 0.0131 0.0100 0.0500 0.1700 1.3667 
-8.7619 0.0087 0.9771 0.0100 0.0500 0.1700 1.4333 
+0.0092 0.0092 0.0512 0.0100 0.0500 0.1700 1.5000 
-8.8533 0.0150 0.9868 0.0100 0.0500 0.1800 0.5000 
-8.9013 0.0197 0.9921 0.0100 0.0500 0.1800 0.5667 
-8.9671 0.0233 0.9990 0.0100 0.0500 0.1800 0.6333 
-8.9132 0.0247 0.9938 0.0100 0.0500 0.1800 0.7000 
-8.5849 0.0178 0.9603 0.0100 0.0500 0.1800 0.7667 
-1.3748 0.0045 0.2379 0.0100 0.0500 0.1800 0.8333 
-0.5150 0.0049 0.1520 0.0100 0.0500 0.1800 0.9000 
-3.8287 0.0054 0.4834 0.0100 0.0500 0.1800 0.9667 
+0.0059 0.0059 0.0785 0.0100 0.0500 0.1800 1.0333 
-8.7722 0.0386 0.9811 0.0100 0.0500 0.1800 1.1000 
+0.0069 0.0069 0.0287 0.0100 0.0500 0.1800 1.1667 
-4.8680 0.0075 0.5875 0.0100 0.0500 0.1800 1.2333 
+0.0080 0.0080 0.0884 0.0100 0.0500 0.1800 1.3000 
+0.0086 0.0086 0.0891 0.0100 0.0500 0.1800 1.3667 
+0.0092 0.0092 0.0970 0.0100 0.0500 0.1800 1.4333 
+0.0097 0.0097 0.0307 0.0100 0.0500 0.1800 1.5000 
-8.9782 0.0142 0.9992 0.0100 0.0500 0.1900 0.5000 
-8.7632 0.0201 0.9783 0.0100 0.0500 0.1900 0.5667 
-8.9537 0.0238 0.9977 0.0100 0.0500 0.1900 0.6333 
-8.7946 0.0247 0.9819 0.0100 0.0500 0.1900 0.7000 
-4.6860 0.0045 0.5691 0.0100 0.0500 0.1900 0.7667 
+0.0048 0.0048 0.0831 0.0100 0.0500 0.1900 0.8333 
-8.8486 0.0253 0.9874 0.0100 0.0500 0.1900 0.9000 
-8.4792 0.0057 0.9485 0.0100 0.0500 0.1900 0.9667 
-8.7629 0.0610 0.9824 0.0100 0.0500 0.1900 1.0333 
+0.0067 0.0067 0.0536 0.0100 0.0500 0.1900 1.1000 
+0.0073 0.0073 0.0055 0.0100 0.0500 0.1900 1.1667 
-0.6518 0.0078 0.1660 0.0100 0.0500 0.1900 1.2333 
-0.5941 0.0084 0.1603 0.0100 0.0500 0.1900 1.3000 
-5.7407 0.0090 0.6750 0.0100 0.0500 0.1900 1.3667 
-1.0884 0.0096 0.2098 0.0100 0.0500 0.1900 1.4333 
-0.1343 0.0103 0.1145 0.0100 0.0500 0.1900 1.5000 
-8.8695 0.0157 0.9885 0.0100 0.0500 0.2000 0.5000 
-8.8617 0.0206 0.9882 0.0100 0.0500 0.2000 0.5667 
-8.8765 0.0236 0.9900 0.0100 0.0500 0.2000 0.6333 
-8.7478 0.0296 0.9777 0.0100 0.0500 0.2000 0.7000 
-8.8583 0.0334 0.9892 0.0100 0.0500 0.2000 0.7667 
-0.0332 0.0050 0.1038 0.0100 0.0500 0.2000 0.8333 
-8.8170 0.0459 0.9863 0.0100 0.0500 0.2000 0.9000 
-7.7900 0.0060 0.8796 0.0100 0.0500 0.2000 0.9667 
-8.8995 0.0326 0.9932 0.0100 0.0500 0.2000 1.0333 
-5.3318 0.0263 0.6358 0.0100 0.0500 0.2000 1.1000 
-8.8386 0.0076 0.9846 0.0100 0.0500 0.2000 1.1667 
+0.0082 0.0082 0.0145 0.0100 0.0500 0.2000 1.2333 
+0.0089 0.0089 0.0712 0.0100 0.0500 0.2000 1.3000 
+0.0095 0.0095 0.0104 0.0100 0.0500 0.2000 1.3667 
-1.3878 0.0101 0.2398 0.0100 0.0500 0.2000 1.4333 
-6.7461 0.0108 0.7757 0.0100 0.0500 0.2000 1.5000 
-8.9553 0.0072 0.9962 0.0100 0.0600 0.0500 0.5000 
-8.7401 0.0099 0.9750 0.0100 0.0600 0.0500 0.5667 
-8.3731 0.0117 0.9385 0.0100 0.0600 0.0500 0.6333 
-8.7662 0.0141 0.9780 0.0100 0.0600 0.0500 0.7000 
-8.9713 0.0172 0.9988 0.0100 0.0600 0.0500 0.7667 
-8.9439 0.0169 0.9961 0.0100 0.0600 0.0500 0.8333 
-8.8089 0.0222 0.9831 0.0100 0.0600 0.0500 0.9000 
-8.9566 0.0261 0.9983 0.0100 0.0600 0.0500 0.9667 
-8.8748 0.0184 0.9893 0.0100 0.0600 0.0500 1.0333 
-4.4567 0.0325 0.5489 0.0100 0.0600 0.0500 1.1000 
-8.7836 0.0327 0.9816 0.0100 0.0600 0.0500 1.1667 
-0.7235 0.0019 0.1725 0.0100 0.0600 0.0500 1.2333 
-8.6068 0.0471 0.9654 0.0100 0.0600 0.0500 1.3000 
-8.8215 0.0506 0.9872 0.0100 0.0600 0.0500 1.3667 
-3.0529 0.0023 0.4055 0.0100 0.0600 0.0500 1.4333 
-8.8183 0.0526 0.9871 0.0100 0.0600 0.0500 1.5000 
-8.9758 0.0082 0.9984 0.0100 0.0600 0.0600 0.5000 
-8.9831 0.0109 0.9994 0.0100 0.0600 0.0600 0.5667 
-8.8945 0.0130 0.9908 0.0100 0.0600 0.0600 0.6333 
-8.9788 0.0159 0.9995 0.0100 0.0600 0.0600 0.7000 
-8.9713 0.0203 0.9992 0.0100 0.0600 0.0600 0.7667 
-8.9567 0.0225 0.9979 0.0100 0.0600 0.0600 0.8333 
-8.6318 0.0265 0.9658 0.0100 0.0600 0.0600 0.9000 
-8.9600 0.0267 0.9987 0.0100 0.0600 0.0600 0.9667 
-8.6084 0.0322 0.9641 0.0100 0.0600 0.0600 1.0333 
-7.2856 0.0125 0.8298 0.0100 0.0600 0.0600 1.1000 
-8.6405 0.0176 0.9658 0.0100 0.0600 0.0600 1.1667 
-8.9388 0.0495 0.9988 0.0100 0.0600 0.0600 1.2333 
-8.8273 0.0326 0.9860 0.0100 0.0600 0.0600 1.3000 
-8.9405 0.0245 0.9965 0.0100 0.0600 0.0600 1.3667 
-8.8749 0.0082 0.9883 0.0100 0.0600 0.0600 1.4333 
+0.0030 0.0030 0.0306 0.0100 0.0600 0.0600 1.5000 
-8.3812 0.0095 0.9391 0.0100 0.0600 0.0700 0.5000 
-8.9611 0.0118 0.9973 0.0100 0.0600 0.0700 0.5667 
-8.9214 0.0132 0.9935 0.0100 0.0600 0.0700 0.6333 
-8.9697 0.0170 0.9987 0.0100 0.0600 0.0700 0.7000 
-8.9631 0.0193 0.9982 0.0100 0.0600 0.0700 0.7667 
-8.9162 0.0236 0.9940 0.0100 0.0600 0.0700 0.8333 
-8.8800 0.0291 0.9909 0.0100 0.0600 0.0700 0.9000 
